round,client_id,fed_acc,p2p_acc,bad_count,quarantined
0,0,0.2043,0.1284,0,0
0,1,0.3117,0.1295,0,0
0,2,0.316,0.1039,0,0
0,3,0.3626,0.1,0,0
0,4,0.2526,0.102,0,0
1,0,0.3436,0.2157,0,0
1,1,0.2166,0.1884,0,0
1,2,0.3808,0.2019,0,0
1,3,0.4134,0.1016,0,0
1,4,0.1947,0.1291,0,0
2,0,0.2788,0.2921,0,0
2,1,0.2451,0.2298,0,0
2,2,0.2663,0.294,0,0
2,3,0.3991,0.1593,0,0
2,4,0.3157,0.1783,0,0
3,0,0.4146,0.3548,0,0
3,1,0.343,0.3899,0,0
3,2,0.4455,0.4381,0,0
3,3,0.4643,0.2403,0,0
3,4,0.4383,0.2436,0,0
4,0,0.2782,0.4755,0,0
4,1,0.4397,0.4952,0,0
4,2,0.4558,0.5064,0,0
4,3,0.4592,0.317,0,0
4,4,0.3964,0.4109,0,0
5,0,0.3847,0.5029,1,0
5,1,0.4342,0.5192,0,0
5,2,0.4444,0.5318,0,0
5,3,0.5631,0.5327,0,0
5,4,0.5326,0.5443,0,0
6,0,0.3345,0.5775,0,0
6,1,0.4547,0.6061,0,0
6,2,0.5206,0.5982,0,0
6,3,0.4415,0.5587,0,0
6,4,0.5269,0.5434,0,0
7,0,0.4753,0.564,1,0
7,1,0.4894,0.6065,0,0
7,2,0.5274,0.6323,0,0
7,3,0.4962,0.6012,0,0
7,4,0.5412,0.6144,0,0
8,0,0.515,0.5883,0,0
8,1,0.572,0.5496,0,0
8,2,0.4165,0.6129,0,0
8,3,0.5614,0.5868,0,0
8,4,0.5385,0.5916,0,0
9,0,0.4825,0.6085,0,0
9,1,0.5208,0.6439,0,0
9,2,0.5444,0.632,0,0
9,3,0.5706,0.598,0,0
9,4,0.4354,0.6453,0,0
10,0,0.5553,0.6328,0,0
10,1,0.2479,0.6444,0,0
10,2,0.5311,0.6362,0,0
10,3,0.5696,0.6483,0,0
10,4,0.4993,0.6125,0,0
11,0,0.3774,0.6503,0,0
11,1,0.4483,0.6587,0,0
11,2,0.5786,0.6718,0,0
11,3,0.5854,0.668,0,0
11,4,0.535,0.6385,0,0
12,0,0.4741,0.6136,0,0
12,1,0.4449,0.6287,0,0
12,2,0.5344,0.6445,0,0
12,3,0.5167,0.677,0,0
12,4,0.5952,0.6584,0,0
13,0,0.3099,0.6155,1,0
13,1,0.483,0.6324,0,0
13,2,0.6208,0.6311,0,0
13,3,0.6317,0.6449,0,0
13,4,0.6418,0.6438,0,0
14,0,0.5392,0.6778,0,0
14,1,0.6439,0.7096,0,0
14,2,0.625,0.6974,0,0
14,3,0.6442,0.7,0,0
14,4,0.6654,0.6651,0,0
15,0,0.5077,0.6626,0,0
15,1,0.6308,0.6619,0,0
15,2,0.6599,0.657,0,0
15,3,0.6031,0.6862,0,0
15,4,0.4237,0.6424,1,0
16,0,0.6009,0.6125,0,0
16,1,0.5826,0.6374,0,0
16,2,0.6213,0.6224,0,0
16,3,0.6413,0.679,0,0
16,4,0.6035,0.6938,0,0
17,0,0.5287,0.6478,0,0
17,1,0.3707,0.6904,0,0
17,2,0.6587,0.6648,0,0
17,3,0.56,0.6867,0,0
17,4,0.6249,0.6769,0,0
18,0,0.6007,0.6347,1,0
18,1,0.6689,0.6367,0,0
18,2,0.6722,0.6524,0,0
18,3,0.6564,0.7052,0,0
18,4,0.6374,0.6812,0,0
19,0,0.443,0.6977,0,0
19,1,0.6362,0.7195,0,0
19,2,0.5982,0.718,0,0
19,3,0.6607,0.7066,0,0
19,4,0.6102,0.6938,0,0
20,0,0.5424,0.7036,1,0
20,1,0.5752,0.7039,0,0
20,2,0.6873,0.72,0,0
20,3,0.5965,0.7266,0,0
20,4,0.7186,0.7044,0,0
21,0,0.5247,0.7195,0,0
21,1,0.6205,0.7386,0,0
21,2,0.5937,0.7169,0,0
21,3,0.6823,0.695,0,0
21,4,0.6811,0.7358,0,0
22,0,0.5928,0.6418,0,0
22,1,0.6515,0.6949,0,0
22,2,0.6432,0.6986,0,0
22,3,0.4207,0.7161,0,0
22,4,0.6035,0.6903,0,0
23,0,0.5977,0.6899,0,0
23,1,0.6726,0.7169,0,0
23,2,0.6497,0.7309,0,0
23,3,0.6394,0.7368,0,0
23,4,0.6759,0.6883,0,0
24,0,0.5141,0.7164,0,0
24,1,0.6526,0.7129,0,0
24,2,0.6015,0.7352,0,0
24,3,0.6876,0.7404,0,0
24,4,0.6667,0.7263,0,0
25,0,0.5772,0.7142,1,0
25,1,0.7083,0.7203,0,0
25,2,0.6848,0.7166,0,0
25,3,0.6208,0.7368,0,0
25,4,0.6086,0.7187,0,0
26,0,0.6261,0.7237,0,0
26,1,0.7197,0.7258,0,0
26,2,0.6208,0.7216,0,0
26,3,0.6562,0.731,0,0
26,4,0.656,0.7071,0,0
27,0,0.64,0.7166,1,0
27,1,0.6848,0.7471,0,0
27,2,0.6446,0.7407,0,0
27,3,0.6428,0.7623,0,0
27,4,0.6623,0.7541,0,0
28,0,0.5686,0.6952,2,0
28,1,0.6152,0.7345,0,0
28,2,0.7424,0.7315,0,0
28,3,0.7036,0.7215,0,0
28,4,0.6799,0.7435,0,0
29,0,0.4787,0.6974,3,0
29,1,0.482,0.732,0,0
29,2,0.6815,0.7172,0,0
29,3,0.6261,0.7398,0,0
29,4,0.6899,0.7332,0,0
30,0,0.6745,0.7349,0,0
30,1,0.7352,0.7342,0,0
30,2,0.6781,0.7564,0,0
30,3,0.6394,0.7315,0,0
30,4,0.6466,0.7301,0,0
31,0,0.6149,0.7343,0,0
31,1,0.7263,0.7265,0,0
31,2,0.6691,0.7449,0,0
31,3,0.7021,0.7238,0,0
31,4,0.5959,0.7469,0,0
32,0,0.571,0.7142,1,0
32,1,0.6576,0.7465,0,0
32,2,0.6675,0.7409,0,0
32,3,0.6962,0.7511,0,0
32,4,0.6849,0.7484,0,0
33,0,0.4823,0.7448,0,0
33,1,0.7105,0.744,0,0
33,2,0.7218,0.7378,0,0
33,3,0.6398,0.7543,0,0
33,4,0.7219,0.7541,0,0
34,0,0.5101,0.7388,0,0
34,1,0.6563,0.7484,0,0
34,2,0.6935,0.7527,0,0
34,3,0.6732,0.7428,0,0
34,4,0.7168,0.7348,0,0
35,0,0.6527,0.7417,1,0
35,1,0.6865,0.7521,0,0
35,2,0.7268,0.747,0,0
35,3,0.6664,0.7576,0,0
35,4,0.7152,0.7617,0,0
36,0,0.6232,0.7356,2,0
36,1,0.6638,0.759,0,0
36,2,0.7077,0.7522,0,0
36,3,0.7306,0.7465,0,0
36,4,0.6313,0.7705,0,0
37,0,0.657,0.7075,3,0
37,1,0.6906,0.7426,0,0
37,2,0.6916,0.7391,0,0
37,3,0.7238,0.7443,0,0
37,4,0.7368,0.762,0,0
38,0,0.6467,0.6939,4,0
38,1,0.6764,0.7325,0,0
38,2,0.6739,0.7385,0,0
38,3,0.6728,0.7283,0,0
38,4,0.6865,0.719,0,0
39,0,0.6489,0.7226,0,0
39,1,0.7128,0.7051,0,0
39,2,0.7078,0.7382,0,0
39,3,0.6422,0.7479,0,0
39,4,0.6931,0.7573,0,0
40,0,0.6132,0.7059,1,0
40,1,0.6906,0.7324,0,0
40,2,0.7437,0.7421,0,0
40,3,0.7249,0.7621,0,0
40,4,0.7297,0.7065,0,0
41,0,0.6522,0.7181,2,0
41,1,0.7215,0.7322,0,0
41,2,0.7068,0.7531,0,0
41,3,0.7551,0.7729,0,0
41,4,0.7697,0.7385,0,0
42,0,0.6033,0.6969,3,0
42,1,0.7059,0.749,0,0
42,2,0.6742,0.7264,0,0
42,3,0.6773,0.7418,0,0
42,4,0.6268,0.7632,0,0
43,0,0.6826,0.7305,0,0
43,1,0.6897,0.7528,0,0
43,2,0.7133,0.7515,0,0
43,3,0.7451,0.7561,0,0
43,4,0.6604,0.7373,0,0
44,0,0.6624,0.7138,1,0
44,1,0.7497,0.7418,0,0
44,2,0.7371,0.7312,0,0
44,3,0.726,0.7755,0,0
44,4,0.6757,0.7586,0,0
45,0,0.6454,0.7071,2,0
45,1,0.7339,0.7214,0,0
45,2,0.7264,0.7298,0,0
45,3,0.7321,0.7432,0,0
45,4,0.7326,0.7438,0,0
46,0,0.4899,0.6839,3,0
46,1,0.7363,0.7312,0,0
46,2,0.7517,0.7472,0,0
46,3,0.767,0.7227,0,0
46,4,0.7169,0.7571,0,0
47,0,0.6865,0.6923,4,0
47,1,0.7512,0.7301,0,0
47,2,0.7472,0.7305,0,0
47,3,0.74,0.7459,0,0
47,4,0.7424,0.7638,0,0
48,0,0.6749,0.7306,5,0
48,1,0.7226,0.7624,0,0
48,2,0.7351,0.7614,0,0
48,3,0.7472,0.7603,0,0
48,4,0.7079,0.7563,0,0
49,0,0.6869,0.7319,0,0
49,1,0.6698,0.7506,0,0
49,2,0.7381,0.7532,0,0
49,3,0.746,0.7778,0,0
49,4,0.716,0.7631,0,0
